2022-11-02 10:06:44.591 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final 
2022-11-02 10:06:44.591 [restartedMain] INFO  com.latrell.CommonToolsApplication - Starting CommonToolsApplication using Java 1.8.0_172 on LAPTOP-G8L8NV6F with PID 32008 (E:\latrell\latrell-code\target\classes started by liz in E:\latrell\latrell-code) 
2022-11-02 10:06:44.591 [restartedMain] DEBUG com.latrell.CommonToolsApplication - Running with Spring Boot v2.4.4, Spring v5.3.5 
2022-11-02 10:06:44.591 [restartedMain] INFO  com.latrell.CommonToolsApplication - No active profile set, falling back to default profiles: default 
2022-11-02 10:06:44.649 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2022-11-02 10:06:44.649 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2022-11-02 10:06:45.061 [background-preinit] WARN  o.s.h.converter.json.Jackson2ObjectMapperBuilder - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath 
2022-11-02 10:06:46.216 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode! 
2022-11-02 10:06:46.216 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode. 
2022-11-02 10:06:46.247 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces. 
2022-11-02 10:06:47.391 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8180 (http) 
2022-11-02 10:06:47.391 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8180"] 
2022-11-02 10:06:47.391 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat] 
2022-11-02 10:06:47.391 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.44] 
2022-11-02 10:06:47.543 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
2022-11-02 10:06:47.543 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2894 ms 
2022-11-02 10:06:47.778 [restartedMain] DEBUG c.l.common.config.spring.aspect.log.ApiLogFilter - Filter 'apiLogFilter' configured for use 
2022-11-02 10:06:49.899 [restartedMain] INFO  com.latrell.common.config.rocketmq.ApiLogConsumer - API 日志消费者 启动成功... 
2022-11-02 10:06:50.159 [restartedMain] INFO  com.latrell.common.config.rocketmq.ApiLogProducer - API 日志生产者 启动成功... 
2022-11-02 10:06:50.342 [restartedMain] INFO  ru.yandex.clickhouse.ClickHouseDriver - Driver registered 
2022-11-02 10:06:51.665 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)] 
2022-11-02 10:06:51.803 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor' 
2022-11-02 10:06:51.862 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729 
2022-11-02 10:06:52.259 [restartedMain] INFO  org.flywaydb.core.internal.license.VersionPrinter - Flyway Community Edition 7.1.1 by Redgate 
2022-11-02 10:06:52.275 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting... 
2022-11-02 10:06:52.411 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. 
2022-11-02 10:06:52.458 [restartedMain] INFO  o.f.core.internal.database.base.DatabaseType - Database: jdbc:mysql://localhost:3306/common-tools (MySQL 5.7) 
2022-11-02 10:06:52.567 [restartedMain] INFO  org.flywaydb.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.071s) 
2022-11-02 10:06:52.582 [restartedMain] INFO  org.flywaydb.core.internal.command.DbMigrate - Current version of schema `common-tools`: 20221012140508 
2022-11-02 10:06:52.582 [restartedMain] INFO  org.flywaydb.core.internal.command.DbMigrate - Schema `common-tools` is up to date. No migration necessary. 
2022-11-02 10:06:52.881 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8180"] 
2022-11-02 10:06:52.897 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8180 (http) with context path '' 
2022-11-02 10:06:52.912 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed 
2022-11-02 10:06:52.928 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s) 
2022-11-02 10:06:52.959 [restartedMain] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references 
2022-11-02 10:06:53.158 [restartedMain] INFO  com.latrell.CommonToolsApplication - Started CommonToolsApplication in 9.22 seconds (JVM running for 10.579) 
2022-11-02 10:06:53.158 [restartedMain] INFO  c.l.common.config.spring.event.CustomEventCaster - 应用启动成功后，发送通知事件 
2022-11-02 10:06:53.174 [restartedMain] INFO  com.latrell.CommonToolsApplication - application started! 
